Start Date,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"Jun 12, 2024","Jun 16, 2024",Essential Research,Online,Female,590,27,28,16,8,8,,,48,45,7
"Jun 26, 2024","Jun 30, 2024",Essential Research,Online,Female,580,29,27,14,8,10,,,49,41,10
"Apr 15, 2024","Jun 7, 2024",Newspoll/Pyxis,Online,Female,793,33,36,14,7,,53,47,,,
"Jul 9, 2024","Jul 14, 2024",Resolve Strategic,Online,Female,801,29,33,17,6,,,,,,
"Jul 10, 2024","Jul 14, 2024",Essential Research,Online,Female,561,25,29,17,9,7,,,46,46,8
"Jul 19, 2024","Jul 23, 2024",YouGov,Online,Female,807,26,37,14,6,,,,48,52,
"Jul 24, 2024","Jul 28, 2024",Essential Research,Online,Female,568,30,30,12,4,8,,,47,45,8
"Aug 7, 2024","Aug 11, 2024",Resolve Strategic,Online,Female,803,25,35,16,6,,,,,,
"Aug 7, 2024","Aug 11, 2024",Essential Research,Online,Female,568,23,31,18,7,7,,,45,48,7
"Aug 21, 2024","Aug 25, 2024",Essential Research,Online,Female,568,27,29,15,8,10,,,48,42,10
"Aug 23, 2024","Aug 28, 2024",YouGov,Online,Female,794,34,35,15,7,,,,52,48,
"Sep 3, 2024","Sep 7, 2024",Resolve Strategic,Online,Female,807,27,37,15,5,,,,,,
"Sep 4, 2024","Sep 8, 2024",Essential Research,Online,Female,566,27,32,14,9,7,,,47,46,7
"Sep 13, 2024","Sep 19, 2024",YouGov,Online,Female,864,28,39,17,7,,,,48.6,51.4,
"Jul 15, 2024","Sep 20, 2024",Newspoll/Pyxis,Online,Female,"2,548",31,36,15,7,,52,48,,,
"Sep 18, 2024","Sep 22, 2024",Essential Research,Online,Female,558,28,33,14,8,7,,,48,45,7
"Oct 1, 2024","Oct 5, 2024",Resolve Strategic,Online,Female,803,30,35,14,5,,,,,,
"Oct 2, 2024","Oct 6, 2024",Essential Research,Online,Female,569,29,32,14,9,5,,,50,45,5
"Oct 16, 2024","Oct 20, 2024",Essential Research,Online,Female,570,26,33,14,7,8,,,47,45,8
"Oct 14, 2024","Oct 25, 2024",POLIS@ANU,Online,Female,"1,811",31.2,35.2,13.7,,12.1,,,,,
"Oct 30, 2024","Nov 3, 2024",Essential Research,Online,Female,565,29,31,13,,6,,,47,47,6
"Nov 5, 2024","Nov 9, 2024",Resolve Strategic,Online,Female,810,29,38,13,4,,,,,,
"Nov 6, 2024","Nov 13, 2024",RedBridge Group,Online,Female,"1,005",31,39,13,,,50,50,,,
"Nov 13, 2024","Nov 18, 2024",Essential Research,Online,Female,603,32,30,15,8,7,,,51,42,6
"Nov 19, 2024","Nov 21, 2024",DemosAU,Online,Female,519,31,38,13,8,8,50,50,,,
"Nov 15, 2024","Nov 21, 2024",YouGov,Online,Female,791,28,36,16,9,,53,47,,,
"Nov 27, 2024","Dec 2, 2024",Essential Research,Online,Female,561,31,32,11,10,6,,,47,48,6
"Dec 4, 2024","Dec 8, 2024",Resolve Strategic,Online,Female,802,26,34,16,9,,,,,,
"Dec 12, 2024","Dec 15, 2024",Essential Research,Online,Female,575,29,31,16,7,5,,,46,49,5
"Oct 7, 2024","Dec 6, 2024",Newspoll/Pyxis,Online,Female,"1,910",30,38,13,7,,50,50,,,
"Jan 15, 2025","Jan 21, 2025",Resolve Strategic,Online,Female,808,29,34,14,7,,,,,,
"Jan 15, 2025","Jan 19, 2025",Essential Research,Online,Female,566,29,33,13,9,7,,,48,45,7
"Jan 29, 2025","Feb 2, 2025",Essential Research,Online,Female,575,29,32,14,10,5,,,46,49,5
"Feb 3, 2025","Feb 7, 2025",RedBridge Group,Online,Female,506,32,37,15,,,51,49,,,
