Start Date,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"Jun 11, 2024","Jun 16, 2024",Resolve Strategic,Online,Male,804,29,39,9,6,,,,,,
"Jun 12, 2024","Jun 16, 2024",Essential Research,Online,Male,591,34,36,10,8,4,,,49,47,4
"Jun 26, 2024","Jun 30, 2024",Essential Research,Online,Male,580,31,40,9,7,4,,,42,54,4
"Apr 15, 2024","Jun 7, 2024",Newspoll/Pyxis,Online,Male,774,32,40,11,7,,49,51,,,
"Jul 9, 2024","Jul 14, 2024",Resolve Strategic,Online,Male,802,27,43,10,6,,,,,,
"Jul 10, 2024","Jul 14, 2024",Essential Research,Online,Male,561,33,38,8,6,4,,,45,51,4
"Jul 19, 2024","Jul 23, 2024",YouGov,Online,Male,721,33,34,11,7,,,,51,49,
"Jul 24, 2024","Jul 28, 2024",Essential Research,Online,Male,569,33,37,9,9,4,,,48,48,4
"Aug 7, 2024","Aug 11, 2024",Resolve Strategic,Online,Male,804,32,39,10,6,,,,,,
"Aug 7, 2024","Aug 11, 2024",Essential Research,Online,Male,569,34,38,9,8,5,,,48,47,5
"Aug 21, 2024","Aug 25, 2024",Essential Research,Online,Male,569,30,37,11,6,3,,,47,50,3
"Aug 23, 2024","Aug 28, 2024",YouGov,Online,Male,749,30,39,11,8,,,,48,52,
"Sep 3, 2024","Sep 7, 2024",Resolve Strategic,Online,Male,807,30,37,11,6,,,,,,
"Sep 4, 2024","Sep 8, 2024",Essential Research,Online,Male,566,33,38,11,6,3,,,48,49,3
"Sep 13, 2024","Sep 19, 2024",YouGov,Online,Male,755,33,38,11,6,,,,50,50,
"Jul 15, 2024","Sep 20, 2024",Newspoll/Pyxis,Online,Male,"2,487",33,40,10,6,,49,51,,,
"Sep 18, 2024","Sep 22, 2024",Essential Research,Online,Male,559,31,37,10,8,3,,,46,51,3
"Oct 1, 2024","Oct 5, 2024",Resolve Strategic,Online,Male,803,29,40,9,6,,,,,,
"Oct 2, 2024","Oct 6, 2024",Essential Research,Online,Male,570,35,36,9,7,4,,,48,48,4
"Oct 16, 2024","Oct 20, 2024",Essential Research,Online,Male,570,31,37,10,8,5,,,51,44,5
"Oct 14, 2024","Oct 25, 2024",POLIS@ANU,Online,Male,"1,811",32.5,41.4,9.5,,6.7,,,,,
"Oct 30, 2024","Nov 3, 2024",Essential Research,Online,Male,566,32,37,12,9,4,,,46,50,4
"Nov 5, 2024","Nov 9, 2024",Resolve Strategic,Online,Male,811,31,41,8,7,,,,,,
"Nov 6, 2024","Nov 13, 2024",RedBridge Group,Online,Male,"1,006",36,40,9,,,50,50,,,
"Nov 13, 2024","Nov 18, 2024",Essential Research,Online,Male,603,29,41,10,5,4,,,43,53,4
"Nov 19, 2024","Nov 21, 2024",DemosAU,Online,Male,519,33,37,11,7,4,51,49,,,
"Nov 15, 2024","Nov 21, 2024",YouGov,Online,Male,724,31,40,11,9,,45,55,,,
"Nov 27, 2024","Dec 2, 2024",Essential Research,Online,Male,562,32,38,11,5,4,,,47,49,4
"Dec 4, 2024","Dec 8, 2024",Resolve Strategic,Online,Male,802,27,41,10,6,,,,,,
"Dec 12, 2024","Dec 15, 2024",Essential Research,Online,Male,576,30,39,10,5,4,,,44,51,4
"Oct 7, 2024","Dec 6, 2024",Newspoll/Pyxis,Online,Male,"1,865",34,40,10,6,,50,50,,,
"Jan 15, 2025","Jan 21, 2025",Resolve Strategic,Online,Male,808,24,42,12,6,,,,,,
"Jan 15, 2025","Jan 19, 2025",Essential Research,Online,Male,566,31,40,10,5,3,,,45,52,3
"Jan 29, 2025","Feb 2, 2025",Essential Research,Online,Male,575,31,40,10,7,4,,,44,52,4
"Feb 3, 2025","Feb 7, 2025",RedBridge Group,Online,Male,507,31,42,7,,,46,54,,,
