Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,UND,L-NP 2pp,ALP 2pp,L-NP r/a,ALP r/a
"Sep 3, 2020","Sep 6, 2020",Essential Research,Online,Female,538,32,33,11,4,10,,,39,51
"Sep 17, 2020","Sep 21, 2020",Essential Research,Online,Female,525,37,33,8,4,14,,,43,44
"Oct 1, 2020","Oct 5, 2020",Essential Research,Online,Female,525,38,33,8,7,11,,,46,43
"Oct 8, 2020","Oct 12, 2020",Essential Research,Online,Female,525,38,33,8,4,13,,,45,42
"Aug 26, 2020","Nov 28, 2020",Newspoll,Online,Female,"4,137",41,36,12,3,,49,51,,
"Oct 15, 2020","Oct 19, 2020",Essential Research,Online,Female,541,36,34,9,3,11,,,46,43
"Oct 29, 2020","Nov 2, 2020",Essential Research,Online,Female,531,35,36,10,4,11,,,41,48
"Nov 11, 2020","Nov 16, 2020",Essential Research,Online,Female,505,36,35,10,5,9,,,44,47
"Nov 25, 2020","Nov 30, 2020",Essential Research,Online,Female,517,35,36,7,3,13,,,41,46
"Dec 9, 2020","Dec 14, 2020",Essential Research,Online,Female,535,33,36,8,3,13,,,41,47
"Jan 13, 2021","Jan 18, 2021",Essential Research,Online,Female,542,37,33,12,3,9,,,44,47
"Jan 27, 2021","Feb 1, 2021",Essential Research,Online,Female,546,34,35,10,4,11,,,41,48
"Feb 10, 2021","Feb 15, 2021",Essential Research,Online,Female,554,35,36,10,5,8,,,42,50
"Jan 27, 2021","Mar 27, 2021",Newspoll,Online,Female,"3,044",41,37,11,3,,49,51,,
"Feb 24, 2021","Mar 1, 2021",Essential Research,Online,Female,537,33,34,12,4,9,,,40,50
"Mar 6, 2021","Mar 14, 2021",Roy Morgan,Online/Phone,Female,"1,374",,,,,,,,46.5,53.5
"Mar 10, 2021","Mar 15, 2021",Essential Research,Online,Female,562,35,36,11,3,8,,,42,50
"Mar 24, 2021","Mar 28, 2021",Essential Research,Online,Female,550,32,38,10,3,11,,,39,51
"Apr 7, 2021","Apr 12, 2021",Essential Research,Online,Female,684,30,39,10,3,10,,,38,52
"Apr 12, 2021","Apr 16, 2021",Resolve Strategic,Online/Phone,Female,"1,015",38,33,13,5,,,,,
"Apr 21, 2021","Apr 26, 2021",Essential Research,Online,Female,545,31,37,11,4,12,,,38,50
"May 5, 2021","May 10, 2021",Essential Research,Online,Female,546,33,38,11,3,11,,,38,51
"May 12, 2021","May 16, 2021",Resolve Strategic,Online,Female,811,34,38,12,3,,,,,
"May 19, 2021","May 24, 2021",Essential Research,Online,Female,550,32,38,10,4,11,,,39,50
"Apr 21, 2021","Jun 26, 2021",Newspoll,Online,Female,"3,039",41,36,12,3,,49,51,,
"Jun 2, 2021","Jun 6, 2021",Essential Research,Online,Female,552,33,36,10,3,11,,,40,50
"Jun 8, 2021","Jun 12, 2021",Resolve Strategic,Online,Female,800,40,35,13,3,,,,,
"Jun 16, 2021","Jun 20, 2021",Essential Research,Online,Female,543,33,36,10,4,11,,,41,48
"Jun 30, 2021","Jul 4, 2021",Essential Research,Online,Female,549,34,35,9,5,12,,,41,47
"Jul 13, 2021","Jul 17, 2021",Resolve Strategic,Online,Female,804,38,36,12,3,,,,,
"Jul 14, 2021","Jul 18, 2021",Essential Research,Online,Female,550,33,37,11,4,10,,,41,49
"Jul 28, 2021","Aug 1, 2021",Essential Research,Online,Female,528,32,36,12,4,11,,,40,49
"Aug 11, 2021","Aug 15, 2021",Essential Research,Online,Female,550,29,40,9,4,12,,,36,52
"Jul 14, 2021","Sep 18, 2021",Newspoll,Online,Female,"3,365",37,40,11,3,,46,54,,
"Aug 17, 2021","Aug 21, 2021",Resolve Strategic,Online,Female,803,38,32,14,3,,,,,
"Aug 25, 2021","Aug 29, 2021",Essential Research,Online,Female,550,33,38,11,4,8,,,40,51
"Sep 8, 2021","Sep 12, 2021",Essential Research,Online,Female,550,37,32,8,4,12,,,44,44
"Sep 15, 2021","Sep 19, 2021",Resolve Strategic,Online,Female,803,37,32,13,4,,,,,
"Sep 22, 2021","Sep 26, 2021",Essential Research,Online,Female,547,36,35,10,4,9,,,44,47
"Oct 6, 2021","Oct 10, 2021",Essential Research,Online,Female,548,35,33,9,5,12,,,43,45
"Oct 20, 2021","Oct 24, 2021",Resolve Strategic,Online,Female,890,35,33,14,4,,,,,
"Oct 20, 2021","Oct 24, 2021",Essential Research,Online,Female,890,35,37,10,3,8,,,41,51
"Sep 29, 2021","Dec 4, 2021",Newspoll,Online,Female,"3,365",36,38,11,3,,46,54,,
"Nov 3, 2021","Nov 7, 2021",Essential Research,Online,Female,544,33,37,9,4,12,,,40,48
"Nov 17, 2021","Nov 21, 2021",Resolve Strategic,Online,Female,890,38,31,12,4,,,,,
"Nov 17, 2021","Nov 21, 2021",Essential Research,Online,Female,547,34,36,11,5,8,,,44,48
"Dec 1, 2021","Dec 6, 2021",Essential Research,Voting,Female,547,35,36,10,4,8,,,43,48
"Dec 8, 2021","Dec 13, 2021",Essential Research,Voting,Female,547,32,36,10,6,10,,,41,49
"Jan 11, 2022","Jan 15, 2022",Resolve Strategic,Online,Female,803,32,35,14,4,,,,,
"Jan 20, 2022","Jan 23, 2022",Essential Research,Online,Female,500,30,39,10,3,11,,,37,52
"Feb 2, 2022","Feb 6, 2022",Essential Research,Online,Female,534,34,34,11,4,10,,,43,47
"Jan 25, 2022","Mar 12, 2022",Newspoll,Online,Female,"3,097",34,40,10,3,,45,55,,
"Feb 15, 2022","Feb 20, 2022",Resolve Strategic,Online,Female,802,32,34,10,4,,,,,
"Feb 16, 2022","Feb 21, 2022",Essential Research,Online,Female,544,33,37,9,6,7,,,43,49
"Mar 2, 2022","Mar 6, 2022",Essential Research,Online,Female,546,33,36,11,4,10,,,40,50
"Mar 30, 2022","Feb 5, 2022",Essential Research,Online,Female,543,35,35,11,4,7,,,43,50
"Mar 17, 2022","Mar 20, 2022",Essential Research,Online,Female,545,33,37,9,3,11,,,40,49
"Mar 30, 2022","Apr 3, 2022",Ipsos,Online/Phone,Female,"1,281",28,37,12,3,10,,,33,49
"Mar 30, 2022","Apr 3, 2022",Resolve Strategic,Online,Female,809,37,35,13,2,,,,,
"Apr 11, 2022","Apr 16, 2022",Resolve Strategic,Online,Female,702,32,35,12,4,,,,,
"Apr 19, 2022","Apr 20, 2022",Essential Research,Online,Female,526,32,37,10,3,10,,,41,50
"Apr 20, 2022","Apr 23, 2022",Ipsos,Online/Phone,Female,"1,281",29,33,15,,9,,,35,49
"Apr 26, 2022","Apr 30, 2022",Resolve Strategic,Online,Female,704,30,35,17,5,,,,,
"Apr 27, 2022","Apr 30, 2022",Essential Research,Online,Female,750,34,31,11,4,10,,,42,48
"May 4, 2022","May 7, 2022",Ipsos,Online/Phone,Female,"1,281",27,35,13,,10,38,53,32,51
"May 11, 2022","May 17, 2022",Essential Research,Online,Female,799,33,34,10,5,10,,,43,48
"May 12, 2022","May 17, 2022",Resolve Strategic,Online,Female,"1,024",32,29,19,5,,,,,
"May 15, 2022","May 18, 2022",Ipsos,Online/Phone,Female,998,30,33,16,,7,,,36,50
