Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,UND,L-NP 2pp,ALP 2pp,L-NP r/a,ALP r/a
"Jul 28, 2021","Aug 1, 2021",Essential Research,Online,Male,529,43,34,6,4,5,,,50,45
"Aug 11, 2021","Aug 15, 2021",Essential Research,Online,Male,550,45,32,10,3,4,,,53,43
"Jul 14, 2021","Sep 18, 2021",Newspoll,Online,Male,"3,340",39,38,9,3,,48,52,,
"Aug 17, 2021","Aug 21, 2021",Resolve Strategic,Online,Male,804,43,32,10,2,,,,,
"Aug 25, 2021","Aug 29, 2021",Essential Research,Online,Male,550,43,33,8,3,5,,,50,45
"Sep 8, 2021","Sep 12, 2021",Essential Research,Online,Male,550,40,36,8,3,4,,,48,48
"Sep 15, 2021","Sep 19, 2021",Resolve Strategic,Online,Male,803,40,31,8,4,,,,,
"Sep 22, 2021","Sep 26, 2021",Essential Research,Online,Male,547,40,37,9,3,4,,,47,49
"Oct 6, 2021","Oct 10, 2021",Essential Research,Online,Male,549,38,36,8,4,6,,,47,48
"Oct 20, 2021","Oct 24, 2021",Resolve Strategic,Online,Male,891,40,35,7,3,,,,,
"Oct 20, 2021","Oct 24, 2021",Essential Research,Online,Male,891,39,35,10,3,4,,,47,48
"Sep 29, 2021","Dec 4, 2021",Newspoll,Online,Male,"3,340",37,38,10,3,,48,52,,
"Nov 3, 2021","Nov 7, 2021",Essential Research,Online,Male,545,41,33,9,2,7,,,49,44
"Nov 17, 2021","Nov 21, 2021",Resolve Strategic,Online,Male,891,39,33,10,2,,,,,
"Nov 17, 2021","Nov 21, 2021",Essential Research,Online,Male,548,40,37,8,2,5,,,47,47
"Dec 1, 2021","Dec 6, 2021",Essential Research,Voting,Male,547,41,34,9,2,7,,,47,46
"Dec 8, 2021","Dec 13, 2021",Essential Research,Voting,Male,548,41,36,8,2,7,,,47,46
"Jan 11, 2022","Jan 15, 2022",Resolve Strategic,Online,Male,804,36,35,9,3,,,,,
"Jan 20, 2022","Jan 23, 2022",Essential Research,Online,Male,501,42,35,7,3,5,,,48,47
"Feb 2, 2022","Feb 6, 2022",Essential Research,Online,Male,535,40,37,8,3,6,,,48,47
"Jan 25, 2022","Mar 12, 2022",Newspoll,Online,Male,"3,000",35,42,8,3,,45,55,,
"Feb 15, 2022","Feb 20, 2022",Resolve Strategic,Online,Male,802,35,36,10,3,,,,,
"Feb 16, 2022","Feb 21, 2022",Essential Research,Online,Male,545,37,39,8,4,4,,,47,49
"Mar 2, 2022","Mar 6, 2022",Essential Research,Online,Male,547,40,35,10,3,5,,,48,48
"Mar 30, 2022","Feb 5, 2022",Essential Research,Online,Male,543,40,38,8,3,3,,,46,50
"Mar 17, 2022","Mar 20, 2022",Essential Research,Online,Male,546,42,37,8,4,4,,,49,47
"Mar 30, 2022","Apr 3, 2022",Ipsos,Online/Phone,Male,"1,282",35,34,8,5,8,,,42,47
"Mar 30, 2022","Apr 3, 2022",Resolve Strategic,Online,Male,809,30,41,10,3,,,,,
"Apr 11, 2022","Apr 16, 2022",Resolve Strategic,Online,Male,702,38,33,9,3,,,,,
"Apr 19, 2022","Apr 20, 2022",Essential Research,Online,Male,526,42,34,9,3,4,,,51,44
"Apr 20, 2022","Apr 23, 2022",Ipsos,Online/Phone,Male,"1,282",35,35,10,,6,,,40,48
"Apr 26, 2022","Apr 30, 2022",Resolve Strategic,Online,Male,704,36,33,12,4,,,,,
"Apr 27, 2022","Apr 30, 2022",Essential Research,Online,Male,750,39,38,8,3,3,,,47,50
"May 4, 2022","May 7, 2022",Ipsos,Online/Phone,Male,"1,282",31,36,11,,5,43,52,38,50
"May 11, 2022","May 17, 2022",Essential Research,Online,Male,800,39,36,8,4,3,,,49,48
"May 12, 2022","May 17, 2022",Resolve Strategic,Online,Male,"1,025",37,33,9,7,,,,,
"May 15, 2022","May 18, 2022",Ipsos,Online/Phone,Male,998,37,36,9,,3,,,43,49
